NAME,ID,CMS_KEY,PLAYER_TYPES,CODE,SECONDARY_EVENT_CODES
Unknown,UNKNOWN,gamecenterUnknown,,Unknown,
Faceoff,FACEOFF,gamecenterFaceoff,,Faceoff,
Hit,HIT,gamecenterHit,,Hit,
Giveaway,GIVEAWAY,gamecenterGiveaway,,Giveaway,
Goal,GOAL,gamecenterGoal,,Goal,
Shot,SHOT,gamecenterShot,,Shot,
Missed Shot,MISSED_SHOT,gamecenterMissedShot,,Missed Shot,
Penalty,PENALTY,gamecenterPenalty,,Penalty,
Stoppage,STOP,gamecenterStop,,Stoppage,
Sub,SUB,gamecenterSub,,Sub,
Fight,FIGHT,gamecenterFight,,Fight,
Takeaway,TAKEAWAY,gamecenterTakeaway,,Takeaway,
Blocked Shot,BLOCKED_SHOT,gamecenterBlockedShot,,Blocked Shot,
Period Start,PERIOD_START,gamecenterPeriodStart,,Period Start,
Period End,PERIOD_END,gamecenterPeroidEnd,,Period End,
Game End,GAME_END,gamecenterGameEnd,,Game End,
Game Scheduled,GAME_SCHEDULED,gamecenterGameScheduled,,Game Scheduled,
Period Ready,PERIOD_READY,gamecenterPeroidReady,,Period Ready,
Period Official,PERIOD_OFFICIAL,gamecenterPeiodOfficial,,Period Official,
Shootout Complete,SHOOTOUT_COMPLETE,gamecenterShootoutComplete,,Shootout Complete,
Early Intermission Start,EARLY_INT_START,gamecenterEarlyIntermissionStart,,Early Intermission Start,
Early Intermission End,EARLY_INT_END,gamecenterEarlyIntermissionEnd,,Early Intermission End,
Game Official,GAME_OFFICIAL,gamecenterGameOfficial,,Game Official,
Official Challenge,CHALLENGE,gamecenterOfficialChallenge,,Official Challenge,
Emergency Goaltender,EMERGENCY_GOALTENDER,gamecenterEmergencyGoaltender,,Emergency Goaltender Player ID Change,
